likes,text_string
0,last  minute  bet  strong  favorite  bet  hon  real  pick  betting  bet  football  money  tipster  soccer  tip  win  gambling  sport
6,woman  soccer  league  launched  year  ago  started  playing  around  many  teammate  tonight  celebrate  red  star  game  half  time  thank
0,okay  varsity  soccer  star  captain  went  mall  soccer  bud  get  homecoming  dance  clothes  red  head  daughter  work  enterprise  center  amp  super  wife  went  blue  celebration  party  special  guest  cup  time  pop  brew
1,thank  everyone  came  last  night  help  u  honor  coach  super  star  legion  stadium  great  night  sea  devil  soccer  soccer
0,football  season  pool  season  go  hand  hand  college  soccer  basketball  baseball  hockey  football  sport  bet  win  money
3,hot  soccer  game
0,congratulation  boy  white  finalist  soccer  club  chaos  boy  tournament
0,charger  soccer  stadium
0,soccer  scoreless  halftime
25,today  girl  boy  soccer  sectional  pairing  show  live  pm  et  pm  ct  viewing  party  tweet  u  picture  try  get  air
1,updated  girl  soccer  info  see  missing  score  let  know  definitely  missing
2,domain  name  available  good  name  sport  museum  sport  memorabilia  store  sport  tennis  golf  startup  marketing  soccer
4,v  bacon  academy  varsity  soccer  game  goal  sept
1,lift  workout  men  soccer  goalkeeper  uniform
0,tip  added  website  late  night  bet  double  access  tip  pm
8,help  team  reach  follower  soccer  season  right  around  corner
0,late  goal  lift  men  soccer  past  owl
1,let  go  soccer
7,soccer  update  goal  sander  halftime
0,u  cc  soccer  congratulation  soccer  winning  blue  conference  year  enjoyed  competition  looking  forward  next  year
0,moment  care  losing  house  day  woman  soccer  team  drafted
2,big  soccer  game  varsity  boy  face  valley  tomorrow  let  go  loud  game
8,lead  way  win
0,girl  please  share  link  player  parent  coach  faithful
5,lead  panther  win  eagle
126,back  board  looking  good  watch  skate  soccer  stadium  new  city  playing  red  bull  download  free  store  play  store  android  skate  skateboarding
2,roundup  ac  fall  drop  th  table  cash
6,penalty  know  say  penalty  penalty  kicked  enough  official  see
0,schnoz  make  laugh  soccer  ball  tolerate  food
